wikidata_Qcode,Species,Genus
Q161888,Rafflesia arnoldi,Rafflesia
Q843274,Rafflesia keithii,Rafflesia
Q908442,Rafflesia kerrii,Rafflesia
Q2439373,Rafflesia schadenbergiana,Rafflesia
Q2715202,Rafflesia speciosa,Rafflesia
Q3205766,Sapria himalayana,Sapria
Q4048244,Rhizanthes infanticida,Rhizanthes
Q4048245,Rhizanthes deceptor,Rhizanthes
Q4048246,Rhizanthes lowii,Rhizanthes
Q4048250,Rhizanthes zippelii,Rhizanthes
Q4117722,Rafflesia lobata,Rafflesia
Q4117729,Rafflesia leonardi,Rafflesia
Q4117737,Rafflesia micropylora,Rafflesia
Q4117744,Rafflesia cantleyi,Rafflesia
Q4117746,Rafflesia gadutensis,Rafflesia
Q4117765,Rafflesia aurantia,Rafflesia
Q4117768,Rafflesia hasseltii,Rafflesia
Q4118523,Rafflesia philippensis,Rafflesia
Q4272946,Rafflesia patma,Rafflesia
Q5489827,Rafflesia mira,Rafflesia
Q7282598,Rafflesia bengkuluensis,Rafflesia
Q7282599,Rafflesia baletei,Rafflesia
Q7282600,Rafflesia azlanii,Rafflesia
Q7282601,Rafflesia manillana,Rafflesia
Q7282603,Rafflesia rochussenii,Rafflesia
Q7282604,Rafflesia pricei,Rafflesia
Q7282605,Rafflesia tuan-mudae,Rafflesia
Q7282607,Rafflesia tengku-adlinii,Rafflesia
Q13012573,Sapria poilanei,Sapria
Q13012574,Sapria ram,Sapria
Q15373337,Rafflesia horsfieldii,Rafflesia
Q15378009,Rafflesia borneensis,Rafflesia
Q18119868,Rafflesia lagascae,Rafflesia
Q18119869,Rafflesia lawangensis,Rafflesia
Q18119870,Rafflesia meijeri,Rafflesia
Q18119871,Rafflesia sharifah-hapsahiae,Rafflesia
Q18119872,Rafflesia su-meiae,Rafflesia
Q18119873,Rafflesia verrucosa,Rafflesia
Q21397992,Rafflesia magnifica,Rafflesia
Q22960677,Rafflesia consueloae,Rafflesia
Q25702801,Rafflesia spp,Rafflesia
Q42753489,Rafflesia mixta,Rafflesia
Q42753498,Rafflesia parvimaculata,Rafflesia
Q48729983,Rafflesia kemumu,Rafflesia
Q55631071,Rafflesia ciliata,Rafflesia
Q55631072,Rafflesia witkampii,Rafflesia
Q85799711,Sapria myanmarensis,Sapria
Q90590523,Rafflesia camarinensis,Rafflesia
Q92147499,Rafflesia tuanku-halimii,Rafflesia
Q92673850,Rafflesia banaoana,Rafflesia
Q92957512,Rafflesia banahaw,Rafflesia
Q92957559,Rafflesia banahawensis,Rafflesia
Q92957607,Rafflesia panchoana,Rafflesia
Q100890508,Rafflesia zollingeriana,Rafflesia
Q109264683,Rafflesia tiomanensis,Rafflesia
Q128764418,Rafflesia tunku-azizahiae,Rafflesia
